role,company,type,inn,ogrn,legal_address,gen_director,phone,email,website,revenue_2024_2025,employees,priority,notes
subcontractor,АО «ПТС»,субподрядчик_РКС-НР,—,—,"?",—,—,—,—,—,—,C,"Упомянут как партнёр РКС-НР"
subcontractor,ООО «ПСК Строймонолит»,субподрядчик_РКС-НР,—,—,"?",—,—,—,—,—,—,C,"Упомянут как партнёр РКС-НР"
subcontractor,ООО «РСМ»,субподрядчик_РКС-НР,—,—,"?",—,—,—,—,—,—,C,"Упомянут как партнёр РКС-НР"
subcontractor,АО «ЦСКиЭ» Ленинградской области,субподрядчик_РКС-НР,—,—,"Лен. обл.",—,—,—,—,—,—,C,"Упомянут как партнёр РКС-НР"
subcontractor,ОГАУ «Дом.73» Ульяновской области,субподрядчик_РКС-НР,—,—,"Ульяновск",—,—,—,—,—,—,C,"Упомянут как партнёр РКС-НР"
subcontractor,АО «Экотехпром Инжиниринг»,субподрядчик_РКС-НР,—,—,"?",—,—,—,—,—,—,C,"Упомянут как партнёр РКС-НР"
developer,ФКР Московской области,регион_шеф_фонд,—,—,"Московская обл.",—,—,—,—,—,—,A,"Восстановил школу 1990-1992 г. в Мариуполе (960 учеников): конструктив, кровля, инженерка. 353+ объектов"
developer,ФКР Липецкой области,регион_шеф_фонд,—,—,"Липецкая обл.",—,—,—,—,—,—,B,"27 домов, техлицей, д/сад, школа в Мариуполе"
developer,АО «ЦСКиЭ» Ленинградской обл.,регион_шеф_СПб,—,—,"Лен. обл.",—,—,—,—,—,—,B,"Шефство СПб над Мариуполем"
developer,Фонд «Победа» СПб,регион_шеф_СПб_фонд,—,—,"СПб",Андрей Полевой (ранее — замупр. ФКСР СПб),—,—,—,11.8 млрд ₽ привлечено,—,A,"Координатор шефства СПб над Мариуполем. 25+ СПб-организаций в работе"
developer,СЗ «СУ-2007» / ООО СЗ «СУ-2007 ИНВЕСТ»,застройщик_крупный,—,—,"Краснодар + Мариуполь",—,—,—,ленинградский-квартал.рф,—,—,A,"Лидер ввода 40 314 м² в 2025 в Мариуполе. ЖК Ленинградский Квартал — 15 домов 12-15 эт. Модульное блочное домостроение"
developer,«Дом РФ» АО,госзастройщик,—,—,"Москва",—,—,—,xn--d1aqf.xn--p1ai,федеральный,—,A,"Вышел в Мариуполь весной 2025. 8 площадок 72.8 тыс. м². ЖК на ул. Артёма 4.3 тыс. м² сдача 2026"
developer,ГК «Проект Инвест» (Воронеж),застройщик_частный,—,—,"Воронеж",—,—,—,—,—,—,B,"ЖК «Нахимовский» Мариуполь — первый коммерческий проект воронежцев в новых регионах"
developer,ООО «Вертикаль ЮГ»,застройщик_частный,—,—,"?",—,—,—,—,—,—,B,"ЖК «Левобережный» побережье Мариуполя. Ипотека 2% от 10% ПВ"
developer,ООО «ТЕМП»,застройщик_частный,—,—,"?",—,—,—,—,—,—,B,"ЖК «Кипарис» 15 эт Центр; ЖК «Нахимов» 2×9 эт 5 мин до набережной"
developer,СЗ Региональная СК (РСК-ДНР),застройщик_локальный,—,—,"ДНР",—,—,—,rskdnr.ru,—,—,B,"ЖК «Олимпийский», ЖК «Жукова». Монолит-железобетон. От 4 млн ₽. Ипотека 2% от 10.1% ПВ"
developer,ГСА Девелопмент / ЖСК «Бригантина»,застройщик_частный,—,—,"?",—,—,—,szgsa.ru,—,—,B,"Таунхаусы Мариуполь, благоустройство. Малоэтажка"
buyer_direct,АО «ЮГМК» филиал №5 (Ясиновский коксохим.),промышленный_покупатель,—,—,"Макеевка",—,—,—,—,—,—,B,"Крепёж, металлопрокат, комплектующие. Металлургический филиал"
buyer_direct,ГУП ДНР «Республиканская Топливная Компания»,муниципальный_ГУП,—,—,"Донецк",—,—,—,—,—,—,B,"Инструмент, расходники"
buyer_direct,ГУП ДНР «АИР Донбасса»,муниципальный_ГУП,—,—,"Донецк",—,—,—,—,—,—,B,"Автодороги ДНР. Нерудные + битум"
general_contractor_parent,ФАУ «РосКапСтрой»,федеральное_автономное_учрежд,7718193111,1027700221559,"129329, Москва, пр-д Игарский, д. 2",Бигвава Георгий Демурович (и.о. с 04.2025),+7 495 739-45-82,—,roskapstroy.ru,федеральный бюджет,—,A+,"Материнская структура РКС-НР. 3632 закупки. ОКВЭД 41.20. Филиалы: Крым, РСО-Алания, Мурманск. Реестр квалиф. подрядчиков (Мурманск, Крым)"
subcontractor_verified,ООО «Геострой-2010» (Донецкий филиал),субподрядчик_РКС-НР_проверен,7717691918,1117746058099,"129626, Москва, ул. Маломосковская, 22 стр.1 эт.3 ком.73 + Донецкий филиал",Гамурзиев Аслан Бекханович,—,—,—,микропредприятие,0 (2022),B,"Учредители: АО РИК 55%, Субботин 15%, Наголкин 15%, Артемьев 15%. Участник проекта «Послесловие» с РКС-НР. Донецкий филиал открыт"
subcontractor_verified,ООО «ПСК Строймонолит»,субподрядчик_РКС-НР_Мариуполь,5046072832,1085003004998,"115230, Москва, Каширское ш., д. 7 к. 2 помещ. 1н",Бабичев Николай Алексеевич (с 10.2024),—,—,ltd-psk.ru,10 млн УК,—,A,"Конкретный объект: гор.больница №1 Ильичёвского р-на Мариуполя. Восстанавливает 50 объектов здравоохранения. 15+ лет опыт, BIM. 67 торгов, 43 выиграл. 5 лицензий"
subcontractor_verified,АО «Экотехпром Инжиниринг»,субподрядчик_РКС-НР_демонтаж,9722010501,1217700533940,"Раменское, Московская обл.",Чегодаев Кирилл Евгеньевич (с 03.2022),—,—,—,—,—,B,"Демонтаж разборка зданий рекультивация инженерная подготовка. Партнёр РКС-НР по проекту Послесловие. ИНН дир: 503009936192"
subcontractor_local,ООО «С&Е Инжиниринг» (Мариуполь),локальный_Мариуполь,9310015613,1249300014556,"Мариуполь, ул. Фонтанная, д. 77, офис 26",Тимуш Ирина Валентиновна (с 02.08.2024),—,—,—,УК 100 тыс,микро,B,"Локальный игрок Мариуполя, не приезжий. Электромонтажные работы + 43 доп. ОКВЭД. МИФНС №10 по ДНР"
subcontractor_verified,ООО «Крымспецстрой» (основная),субподрядчик_РВР_Донецк,9102046360,1149102093777,"Симферополь, ул. Желябова, д. 29А, эт./пом. 1/1",Мясоедов Сергей Сергеевич,—,—,—,выручка 224 млн ₽ (2018),58,B,"ОКВЭД 42.11 — строительство автодорог. Реальные РВР в Донецке: ул. Трамвайная 35А и ул. Рослого 71. Уч: Ершов М.В. Произв. бетонных изделий + асфальта"
customer_department,ППК «Единый заказчик» — ЛПР,федеральный_заказчик_ЛПР,7707448255,1217700030162,"127051, Москва, ул. Садовая-Самотёчная, 10",Карен Оганесян (гендиректор); Андрей Аристархов (первый зам по проектированию),—,—,ppk-ez.ru,федеральный,—,A+,"Верхние ЛПР для федеральных подрядов ДНР. 6 млн м² в Мариуполе, 1500+ МКД в работе, 3800+ объектов в новых регионах"
customer_department,Минстрой ДНР — ЛПР по восстановлению,отдел_восстановления_ЛПР,9303039772,1249300020860,"Донецк, пр. Б. Хмельницкого, 102 (приёмы); Университетская 13 (юр)",Сергей Фенюшин (нач. отдела строительства/реконструкции/восстановления),(062) 334-98-11 горячая линия,minstroy@minstroy-dnr.ru,"minstroy-dnr.ru; minstroy-dpr.gosuslugi.ru",—,—,A+,"Фенюшин — конкретное ЛПР по вопросам восстановления жилья. Публично объясняет алгоритм обращения в эфирах"
subcontractor_verified,АО «Экотехпром Инжиниринг»,утилизация_отходов_партнёр_РКС-НР,9722010501,1217700533940,"140103, Раменское, ул. Гурьева, 4А помещ. 107",Чегодаев Кирилл Евгеньевич (с 03.2022),—,—,—,"1.77 млрд ₽ (2024)",36,B,"Партнёр РКС-НР по проекту Послесловие. ОКВЭД 38.21 — утилизация неопасных отходов. Среднее предприятие. Лицензия. Потенциал — как потребитель вторичных материалов от ваших складов или утилизатор стройотходов"
regional_partner_verified,ОГАУ «Корпорация «Дом.73»,шеф-регион_Ульяновск_РКС-НР,7325137346,1157325003835,"432001, Ульяновск, ул. Спасская, д. 5",Беркутов Евгений Александрович (с 10.2023),—,—,—,некоммерческое,—,B,"Учредитель: Минстрой ЖКХ Ульяновской области. Партнёр РКС-НР по проекту Послесловие. Путь входа — через Минстрой Ульяновской обл."
regional_partner_verified,Комитет по строительству Ленинградской обл.,шеф-регион_СПб_ЛО,7841386725,1089847177760,"191028, СПб, наб. Реки Фонтанки, д. 14 лит. А",Лазуткин В.В. / Никитенко Е.Ф.,"+7 (812) 881-25-79; +7 (812) 881-25-98",—,ks.lenobl.ru,бюджетный_гос,—,A,"Региональный шеф. В структуре — ГКУ УС ЛО (uslenobl.spb.ru) с отделом госзакупок и отделом комплектации. Путь входа для поставщиков"
