role,company,type,region_focus,project_examples,contact_site,contact_phone,priority,source_date,notes
state_customer,АО «Инфраструктурные Проекты»,энергетика_гос,"Старобешевская ТЭС","Подряды и поставки для филиалов СпецЭнергоРемонт",,,A,2026-04,"25 активных лотов за день на komtender. Ключевой energy-заказчик"
state_customer,ГУП ДНР «Респ. Топливная Компания»,муниципальный_ГУП,"Донецк","Инструмент расходники",,,B,2026-04,
state_customer,ГУП ДНР «АИР Донбасса»,муниципальный_ГУП,"Донецк","Автодороги ДНР",,,B,2026-04,
state_customer,«Мариупольавтодор»,муниципальный_ГУП,"Мариуполь","Дороги и мосты",,,B,2026-04,
state_customer,«Горсвет» Мариуполь,муниципальный_ГУП,"Мариуполь","Уличное освещение",,,B,2026-04,
direct_buyer,АО «ЮГМК» фил. №5 (Ясиновский коксохим.),промышленный,"Макеевка","Крепёж металлопрокат комплектующие",,,B,2026-04,"Регулярный закупщик металла и крепежа"
direct_buyer,ГК «КрашМаш» Казакова,снос_демонтаж,"Мариуполь","Снос нерекоструктируемых зданий",,,C,2026-04,"Сын петербургского девелопера"
regional_partner,Санкт-Петербург — Фонд «Победа»,регион_шеф,"Мариуполь","Драмтеатр филармония + под ключ",,,A,2026-04,"Фонд собрал 11,8 млрд ₽. 25+ СПб-организаций"
regional_partner,Московская область,регион_шеф,"Мариуполь","353+ объекта: школы д/сады 185+ МКД 35 дорог 120 котельных",,,A,2026-04,"Крупнейший партнёр"
regional_partner,Новосибирская область,регион_шеф,"Мариуполь Левобережье","1 квартал",,,B,2026-04,
regional_partner,Тульская область,регион_шеф,"Мариуполь Левобережье","Жилые + котельная + МПТТ",,,B,2026-04,
regional_partner,Липецкая область (Фонд капремонта),регион_шеф,"Мариуполь","27 домов + д/сад + школа",,,B,2026-04,
regional_partner,Москва,регион_шеф,"Донецк Луганск",,,A,2026-04,"В основном Донецк/Луганск"
regional_partner,ЯНАО,регион_шеф,"Волноваха",,,B,2026-04,
supply_logistics,ООО «Петро-индустрия» (СПб),поставка_стройплощадок,"СПб/Мариуполь","Снабжение стройплощадок",,,B,2026-04,"Партнёр фонда Победа"
supply_logistics,ООО «СпецСнабТранс» (Москва),поставка_стройплощадок,"Мариуполь","Соцструктуры",,,C,2026-04,
design_partner,53 ЦПИ Центр. Проектный Институт,проектирование_гос,"Мариуполь","Медцентр ФМБА; Нахимовское училище",,,B,2026-04,"Петербург"
design_partner,ООО «Испыт. центр Стройэксперт» СПб,проектирование_надзор,"Мариуполь","Филармония + стройнадзор",,,B,2026-04,"Выручка 2022 — 1,2 млрд ₽"
state_customer,Минстрой ДНР,гос_орган_ключевой,"Вся ДНР","Верхний координатор",https://minstroy-dnr.ru/,"(062) 334-98-10; 334-98-12; горячая 334-98-11; Феникс (071) 308-49-11; МТС (095) 295-45-71",A+,2026-04,"Адрес: Донецк пр. Б. Хмельницкого 102. Email: minstroy@minstroy-dnr.ru. Министр: Циганов Н.М."
